Name of Faculty,Domain Expertise
Dr. Dhananjay Kalbande,"Artificial Intelligence,Soft Computing, Machine Learning, Deep Learning, Data and Image Analytics,IoT "
Dr. Sudhir Dhage,"Machine Learning, Artificial Intelligence, Data Mining, NLP, Big Data Analytics, IoT, Distributed Systems, Cloud Computing, Brain Cognitive science, Soft Computing, Pattern Recognition,  Information Security"
Dr. Anant Nimkar,"Information Security, Artificial Intelligence, Machine Learning , Distributed Systems, Soft Computing"
Prof. Anand Godbole,"Machine Learning , Data Mining , NLP , Artificial Intelligence , OpenCV , System Programing"
Dr. Surekha Dholay,"Deep Learning, Machine Learning, OpenCV, Data and Image Analytics"
Prof. Kiran Gawande,"Data Mining , Big Data Analytics, Machine Learning"
Prof. Jyoti Ramteke,"Data Mining, Machine Learning, Computer Networks, Social Media Analytics, NLP, Operating System"
Dr. Nataasha Raul,"Machine Learning, Information Security, Behavioural Biometrics, Cryptography, Algorithms"
Dr. Reeta Koshy,"NLP, Data Science, Big Data Analytics, Artificial Intelligence, Machine Learning, IoT"
Prof. Sunil Ghane,"Data Mining, Distributed Systems, Artificial Intelligence, Machine Learning, OpenCV"
Prof. Pramod Bide,"Machine Learning,Deep Learning, Data Mining, NLP, Data and Image Analytics, IoT, Social Media Analytics, Information Security"
Prof. Abhijeet Salunkhe,"Computer Networks,Information Security, Mobile Communication and Computing, Machine Learning"
Prof. Nawal Dandekar,"Computer Networks,Information Security"
Prof. Khushbhu Chauhan,"Artificial Intelligence, OpenCV, Machine Learning, Deep Learning,Big Data Analytics"
Dr. Prasenjit Bhavathankar,"Computer Networks, IoT, Soft Computing ,Machine Learning"
Dr. Kailas Devadkar,"Cloud Computing , Computer Networks, IoT, Machine Learning,"
Prof. Rupali sawant,"Data Mining,Machine Learning,Deep Learning,Big Data Analytics,NLP"
Prof. Sheetal Chaudhari,"Distributed Systems, Computer Networks ,Artificial Intelligence, Machine Learning, Blockchain "
Prof. Renuka Pawar,"Cyber Security,IoT, Information Security ,Digital Forensics,Blockchain ,Virtual Reality,Augmented Reality,OpenCV"
Prof. Jignesh Sisodia,"OpenCV,  Machine Learning, Deep Learning, IoT, "
Prof. Swapnali Kurhade,"Deep Learning, Machine Learning,Big Data Analytics"
Prof. Varsha Hole,"Machine Learning, NLP, Big Data Analytics, OpenCV, Information Security"
Prof. Aparna Halbe,"Machine Learning, NLP,Big Data Analytics, OpenCV, Information Security"
